iter	Passed	Remaining
0	127	127833
1	128	64329
2	129	43061
3	130	32593
4	132	26336
5	133	22127
6	134	19029
7	134	16714
8	135	14888
9	136	13528
10	137	12382
11	138	11404
12	138	10546
13	139	9855
14	140	9250
15	142	8750
16	143	8274
17	143	7828
18	143	7433
19	144	7076
20	144	6750
21	145	6460
22	145	6195
23	146	5962
24	147	5745
25	148	5544
26	148	5369
27	149	5191
28	150	5024
29	150	4873
30	151	4724
31	151	4586
32	152	4456
33	152	4334
34	153	4219
35	153	4112
36	154	4009
37	154	3911
38	154	3817
39	155	3728
40	155	3644
41	156	3564
42	156	3490
43	157	3415
44	157	3345
45	158	3277
46	158	3213
47	158	3152
48	159	3093
49	159	3037
50	160	2983
51	161	2935
52	161	2885
53	161	2835
54	162	2788
55	162	2742
56	163	2697
57	163	2655
58	163	2613
59	164	2574
60	164	2536
61	165	2500
62	165	2465
63	166	2430
64	166	2397
65	167	2364
66	167	2333
67	167	2302
68	169	2280
69	169	2250
70	169	2223
71	170	2195
72	170	2168
73	171	2142
74	171	2116
75	172	2092
76	172	2068
77	173	2045
78	173	2022
79	174	2001
80	174	1979
81	174	1958
82	175	1936
83	175	1917
84	176	1898
85	176	1879
86	177	1860
87	177	1843
88	178	1827
89	179	1810
90	179	1793
91	180	1778
92	180	1762
93	181	1746
94	181	1732
95	182	1717
96	183	1703
97	183	1689
98	184	1675
99	184	1662
100	185	1648
101	185	1634
102	186	1620
103	186	1609
104	187	1597
105	187	1584
106	188	1574
107	189	1562
108	189	1551
109	190	1541
110	191	1530
111	191	1520
112	192	1509
113	192	1499
114	193	1488
115	194	1478
116	194	1467
117	195	1457
118	195	1448
119	196	1438
120	196	1429
121	197	1418
122	197	1409
123	198	1401
124	198	1392
125	199	1386
126	200	1377
127	200	1369
128	201	1360
129	202	1353
130	202	1344
131	203	1336
132	203	1328
133	204	1321
134	205	1313
135	205	1307
136	206	1300
137	207	1293
138	207	1286
139	208	1279
140	208	1272
141	209	1263
142	209	1257
143	210	1250
144	211	1245
145	211	1238
146	212	1232
147	213	1226
148	213	1220
149	214	1214
150	214	1208
151	215	1203
152	216	1198
153	217	1194
154	217	1188
155	218	1183
156	219	1178
157	220	1173
158	220	1168
159	221	1164
160	222	1158
161	223	1153
162	223	1148
163	224	1143
164	224	1138
165	225	1133
166	226	1127
167	227	1124
168	227	1120
169	228	1115
170	229	1110
171	229	1105
172	230	1100
173	231	1096
174	231	1093
175	232	1089
176	233	1085
177	234	1081
178	234	1076
179	235	1072
180	236	1067
181	236	1063
182	237	1059
183	237	1054
184	238	1051
185	239	1047
186	239	1042
187	240	1038
188	241	1034
189	241	1030
190	242	1026
191	242	1021
192	243	1018
193	244	1014
194	244	1009
195	245	1005
196	245	1002
197	246	998
198	247	994
199	247	991
200	248	988
201	249	984
202	249	981
203	250	977
204	251	974
205	251	970
206	252	966
207	252	963
208	253	959
209	254	956
210	254	952
211	255	948
212	255	945
213	256	941
214	257	938
215	257	934
216	258	931
217	258	927
218	259	924
219	259	920
220	260	917
221	260	913
222	261	910
223	261	906
224	262	903
225	262	900
226	263	897
227	264	893
228	264	891
229	265	888
230	265	885
231	266	882
232	267	879
233	267	876
234	268	873
235	268	869
236	269	866
237	269	863
238	270	860
239	270	857
240	271	854
241	271	851
242	272	848
243	273	845
244	273	842
245	274	839
246	274	836
247	275	834
248	275	831
249	276	829
250	276	826
251	277	823
252	278	821
253	278	818
254	279	815
255	279	812
256	280	809
257	280	807
258	281	804
259	281	801
260	282	798
261	282	796
262	283	793
263	283	790
264	283	787
265	284	784
266	284	782
267	285	779
268	285	776
269	286	774
270	287	772
271	287	770
272	288	767
273	288	765
274	289	762
275	289	760
276	290	757
277	290	755
278	291	752
279	291	750
280	292	748
281	292	745
282	293	743
283	293	740
284	294	738
285	294	735
286	295	733
287	295	730
288	296	728
289	296	725
290	296	723
291	297	721
292	298	719
293	298	717
294	299	714
295	299	712
296	300	710
297	300	707
298	300	705
299	301	703
300	301	701
301	302	698
302	302	696
303	303	694
304	304	692
305	304	690
306	305	688
307	305	686
308	306	684
309	306	682
310	307	680
311	307	678
312	307	675
313	308	674
314	309	672
315	309	670
316	310	668
317	310	666
318	311	664
319	311	662
320	312	660
321	312	658
322	313	656
323	313	654
324	314	652
325	314	651
326	315	649
327	316	648
328	316	646
329	317	644
330	317	642
331	318	640
332	318	638
333	319	636
334	320	635
335	320	633
336	321	632
337	321	630
338	322	628
339	322	626
340	323	625
341	324	623
342	324	621
343	325	620
344	325	618
345	326	616
346	326	615
347	327	613
348	327	611
349	328	609
350	328	607
351	329	606
352	329	604
353	330	602
354	330	601
355	331	599
356	332	597
357	332	596
358	333	594
359	333	593
360	334	591
361	334	589
362	335	588
363	335	586
364	336	584
365	336	583
366	337	581
367	337	580
368	338	578
369	338	577
370	339	575
371	339	573
372	340	572
373	340	570
374	341	568
375	341	567
376	342	566
377	343	564
378	343	562
379	343	561
380	344	559
381	344	557
382	345	556
383	345	554
384	346	553
385	346	551
386	347	550
387	347	548
388	348	547
389	348	545
390	349	544
391	349	542
392	350	541
393	350	539
394	351	538
395	351	536
396	352	535
397	353	534
398	353	532
399	354	531
400	354	529
401	355	528
402	355	526
403	356	525
404	356	524
405	357	522
406	357	521
407	358	519
408	358	518
409	359	517
410	359	515
411	360	514
412	361	513
413	361	511
414	362	510
415	362	509
416	363	507
417	363	506
418	364	505
419	364	504
420	365	502
421	365	501
422	366	499
423	366	498
424	367	496
425	367	495
426	368	494
427	368	492
428	369	491
429	369	490
430	370	488
431	370	487
432	371	486
433	371	485
434	372	483
435	372	482
436	373	481
437	373	479
438	374	478
439	374	476
440	375	475
441	376	474
442	376	473
443	377	472
444	377	470
445	377	469
446	378	468
447	378	466
448	379	465
449	379	464
450	380	462
451	380	461
452	381	460
453	381	459
454	382	458
455	382	456
456	383	455
457	383	454
458	384	452
459	384	451
460	385	450
461	385	449
462	386	447
463	386	446
464	387	445
465	387	444
466	388	443
